0,1,2
,,
HTML name,R G B,R G B
HTML name,Hex,Decimal
Pink colors,Pink colors,Pink colors
MediumVioletRed,C71585,"199, 21, 133"
DeepPink,FF1493,"255, 20, 147"
PaleVioletRed,DB7093,"219, 112, 147"
HotPink,FF69B4,"255, 105, 180"
LightPink,FFB6C1,"255, 182, 193"
Pink,FFC0CB,"255, 192, 203"
Red colors,Red colors,Red colors
DarkRed,8B0000,"139, 0, 0"
Red,FF0000,"255, 0, 0"
Firebrick,B22222,"178, 34, 34"
Crimson,DC143C,"220, 20, 60"
IndianRed,CD5C5C,"205, 92, 92"
LightCoral,F08080,"240, 128, 128"
Salmon,FA8072,"250, 128, 114"
DarkSalmon,E9967A,"233, 150, 122"
LightSalmon,FFA07A,"255, 160, 122"
Orange colors,Orange colors,Orange colors
OrangeRed,FF4500,"255, 69, 0"
Tomato,FF6347,"255, 99, 71"
DarkOrange,FF8C00,"255, 140, 0"
Coral,FF7F50,"255, 127, 80"
Orange,FFA500,"255, 165, 0"
Yellow colors,Yellow colors,Yellow colors
DarkKhaki,BDB76B,"189, 183, 107"
Gold,FFD700,"255, 215, 0"
Khaki,F0E68C,"240, 230, 140"
PeachPuff,FFDAB9,"255, 218, 185"
Yellow,FFFF00,"255, 255, 0"
PaleGoldenrod,EEE8AA,"238, 232, 170"
Moccasin,FFE4B5,"255, 228, 181"
PapayaWhip,FFEFD5,"255, 239, 213"
LightGoldenrodYellow,FAFAD2,"250, 250, 210"
LemonChiffon,FFFACD,"255, 250, 205"
LightYellow,FFFFE0,"255, 255, 224"
Brown colors,Brown colors,Brown colors
Maroon,800000,"128, 0, 0"
Brown,A52A2A,"165, 42, 42"
SaddleBrown,8B4513,"139, 69, 19"
Sienna,A0522D,"160, 82, 45"
Chocolate,D2691E,"210, 105, 30"
DarkGoldenrod,B8860B,"184, 134, 11"
Peru,CD853F,"205, 133, 63"
RosyBrown,BC8F8F,"188, 143, 143"
Goldenrod,DAA520,"218, 165, 32"
SandyBrown,F4A460,"244, 164, 96"
Tan,D2B48C,"210, 180, 140"
Burlywood,DEB887,"222, 184, 135"
Wheat,F5DEB3,"245, 222, 179"
NavajoWhite,FFDEAD,"255, 222, 173"
Bisque,FFE4C4,"255, 228, 196"
BlanchedAlmond,FFEBCD,"255, 235, 205"
Cornsilk,FFF8DC,"255, 248, 220"
